phase,family,preprocess,recency,score,params
family,lgb,raw,expanding,0.762376104287869,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,raw,expanding,0.7574283559577677,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,raw,expanding,0.750508280235171,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
family,lgb,eng,expanding,0.761705836180626,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,eng,expanding,0.7576115061409179,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,eng,expanding,0.7627273986517684,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
family,lgb,eng_rank,expanding,0.7638597746791025,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,eng_rank,expanding,0.7612137162557331,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,eng_rank,expanding,0.7621841044109952,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
hparam,lgb,eng_rank,expanding,0.7656908917413119,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
hparam,lgb,eng_rank,expanding,0.7633437990580847,"{""n_estimators"": 200, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.03, ""min_child_samples"": 80, ""reg_lambda"": 20, ""reg_alpha"": 1}"
recency,lgb,eng_rank,expanding,0.7656908917413119,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
recency,lgb,eng_rank,roll730,0.7656908917413119,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
recency,lgb,eng_rank,exp365,0.7718156493366577,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
recency,lgb,eng_rank,exp730,0.766902145473574,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
prune,lgb,top16,exp365,0.7735432634592299,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
prune,lgb,top46,exp365,0.7718156493366577,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
