market,sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,m1_owner_at_sweep,m1_path,m1_direct_transfer,m1_one_reneg,d14,d24,d24_age,d1_atr,broken_m5_level,trigger_spread,parent_entry,parent_sl,parent_risk,limit_entry,planned_sl,planned_risk,improved,geom,scale,acceptance,menv_n_prior,med_scale,med_accept,menv_hh,h_auth,l1_auth,l2_auth,module,prospective_fill_time,pnl_R,outcome,resolved_at,accepted,exposure_blocked,menv_n_prior_carry,med_scale_carry,med_accept_carry,menv_hh_carry
BTCUSD#,2026-01-06 04:38:00,1,93544.5,2026-01-06 02:30:00,2026-01-06 03:30:00,41,1,93515.3,2026-01-06 05:20:00,93790.3,-1,1497,-1,1,True,False,1,1,57,,93765.7,22.5,93812.8,93515.3,297.5,93800.5,93515.3,285.1999999999971,True,True,,,0,,,False,False,True,False,L1,2026-01-06 05:20:00,-0.9159663865546218,TIME,2026-01-06 09:20:00,True,False,0,,,False
GOLD#,2026-01-09 14:33:00,1,4464.05,2026-01-09 10:45:00,2026-01-09 14:00:00,37,1,4461.13,2026-01-09 15:05:00,4469.58,-1,1464,-1,"1,-1,1",False,True,-1,1,12,,4468.28,0.17,4469.75,4461.13,8.61999999999989,4469.1,4461.13,7.970000000000255,True,True,,,0,,,False,False,False,True,L2,2026-01-09 15:05:00,-1.0,SL,2026-01-09 15:30:00,True,False,0,,,False
BTCUSD#,2026-01-23 04:00:00,-1,89936.7,2026-01-22 22:15:00,2026-01-22 23:45:00,184,1,89971.0,2026-01-23 04:30:00,89754.7,1,6371,1,"-1,1,-1",False,True,-1,-1,2,2240.8499999999976,89782.8,22.5,89754.7,89993.5,238.8000000000029,89768.75,89993.5,224.75,True,True,,,0,,,False,False,False,True,L2,2026-01-23 04:30:00,-1.0,SL,2026-01-23 06:12:00,True,False,0,,,False
GOLD#,2026-01-23 11:29:00,1,4901.12,2026-01-23 10:15:00,2026-01-23 10:45:00,111,1,4899.7,2026-01-23 12:20:00,4925.23,-1,4160,-1,"1,-1,1",False,True,1,1,18,91.86571428571436,4922.59,0.16,4925.389999999999,4899.7,25.6899999999996,4924.07,4899.7,24.36999999999989,True,True,,,0,,,False,False,False,True,L2,2026-01-23 12:20:00,0.655118723238657,TIME,2026-01-23 16:20:00,True,False,0,,,False
BTCUSD#,2026-02-04 05:41:00,-1,76947.6,2026-02-03 23:00:00,2026-02-04 01:00:00,290,1,76970.1,2026-02-04 06:25:00,76581.9,1,9838,1,"-1,1,-1",False,True,-1,-1,14,3652.678571428568,76616.3,22.5,76581.9,76992.6,410.7000000000117,76599.1,76992.6,393.5,True,True,,,0,,,False,False,False,True,L2,2026-02-04 06:25:00,1.0,TP1,2026-02-04 07:53:00,True,False,0,,,False
USDJPY#,2026-02-05 05:36:00,1,156.701,2026-02-05 02:45:00,2026-02-05 03:15:00,202,2,156.678,2026-02-05 06:10:00,156.844,-1,6889,-1,"1,-1,1",False,True,1,1,33,1.509214285714285,156.839,0.008,156.852,156.678,0.1740000000000066,156.8495,156.678,0.1715000000000088,True,True,,,0,,,False,False,False,True,L2,2026-02-05 06:10:00,1.0,TP1,2026-02-05 08:02:00,True,False,0,,,False
BTCUSD#,2026-02-26 10:02:00,1,67794.2,2026-02-26 04:00:00,2026-02-26 06:15:00,471,1,67773.7,2026-02-26 11:15:00,68317.9,-1,16214,-1,"1,-1,1",False,True,-1,1,32,2746.785714285713,68242.7,22.5,68340.4,67773.7,566.6999999999971,68302.79999999999,67773.7,529.0999999999913,True,True,,,0,,,False,False,False,True,L2,2026-02-26 11:15:00,-0.5893770954649756,TIME,2026-02-26 15:15:00,True,False,0,,,False
USDJPY#,2026-03-06 15:30:00,1,157.497,2026-03-06 10:15:00,2026-03-06 11:15:00,358,2,157.355,2026-03-06 16:10:00,157.941,-1,13057,-1,1,True,False,1,1,28,1.1899999999999995,157.938,0.008,157.949,157.355,0.5940000000000225,157.94750000000002,157.355,0.5925000000000296,True,True,0.4978991596638905,0.0025210084033733,0,,,False,False,True,False,L1,2026-03-06 16:10:00,-0.34680134680136276,TIME,2026-03-06 20:10:00,True,False,115,0.1669464893021746,0.0185905340035986,False
BTCUSD#,2026-03-08 09:20:00,-1,67418.0,2026-03-08 04:30:00,2026-03-08 05:00:00,554,1,67447.1,2026-03-08 09:50:00,67263.4,1,19065,1,-1,True,False,-1,-1,64,3574.9535714285707,67273.8,22.5,67263.4,67469.6,206.20000000001164,67268.6,67469.6,201.0,True,True,0.0562245064121712,0.0029091286899854,5,,,False,False,True,False,L1,2026-03-08 09:50:00,-1.0,SL,2026-03-08 10:41:00,True,False,213,0.1842902383051549,0.015064475623302,False
USDJPY#,2026-03-13 15:55:00,1,159.007,2026-03-13 02:15:00,2026-03-13 04:00:00,392,1,159.003,2026-03-13 16:40:00,159.279,-1,14515,-1,"1,-1,1",False,True,-1,1,67,1.0622857142857112,159.207,0.008,159.287,159.003,0.2840000000000202,159.251,159.003,0.2480000000000188,True,True,,,0,,,False,False,False,True,L2,2026-03-13 16:40:00,1.0,TP1,2026-03-13 17:43:00,True,False,0,,,False
