market,sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,m1_owner_at_sweep,m1_path,m1_direct_transfer,m1_one_reneg,d14,d24,d24_age,d1_atr,broken_m5_level,trigger_spread,parent_entry,parent_sl,parent_risk,limit_entry,planned_sl,planned_risk,improved,geom,scale,acceptance,menv_n_prior,med_scale,med_accept,menv_hh,h_auth,l1_auth,l2_auth,module,prospective_fill_time,pnl_R,outcome,resolved_at,accepted,exposure_blocked,menv_n_prior_carry,med_scale_carry,med_accept_carry,menv_hh_carry
BTCUSD#,2026-01-01 17:42:00,-1,88084.2,2026-01-01 04:15:00,2026-01-01 06:00:00,0,1,88105.4,2026-01-01 18:20:00,87886.7,1,219,1,-1,True,False,1,0,0,,87929.9,22.5,87886.7,88127.9,241.1999999999971,87908.29999999999,88127.9,219.60000000000585,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-01-06 04:38:00,1,93544.5,2026-01-06 02:30:00,2026-01-06 03:30:00,41,1,93515.3,2026-01-06 05:20:00,93790.3,-1,1497,-1,1,True,False,1,1,57,,93765.7,22.5,93812.8,93515.3,297.5,93800.5,93515.3,285.1999999999971,True,True,,,0,,,False,False,True,False,L1,2026-01-06 05:20:00,-0.9159663865546218,TIME,2026-01-06 09:20:00,True,False,0,,,False
BTCUSD#,2026-01-07 15:27:00,-1,92244.3,2026-01-07 13:30:00,2026-01-07 15:15:00,62,1,92276.5,2026-01-07 15:55:00,92048.8,1,1912,1,,False,False,-1,-1,22,,92051.2,22.5,92048.8,92299.0,250.1999999999971,92050.0,92299.0,249.0,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-01-08 05:48:00,1,90662.8,2026-01-07 21:15:00,2026-01-08 01:00:00,67,1,90599.9,2026-01-08 06:25:00,90946.1,-1,2086,-1,"1,-1,1",False,True,-1,-1,37,,90861.5,22.5,90968.6,90599.9,368.7000000000117,90926.3,90599.9,326.4000000000088,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-01-08 09:01:00,1,89647.3,2026-01-03 14:00:00,2026-01-03 15:00:00,21,1,89629.8,2026-01-08 09:45:00,90428.8,-1,2126,-1,1,True,False,-1,-1,40,,90397.7,22.5,90451.3,89629.8,821.5,90435.75,89629.8,805.9499999999971,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-01-12 16:24:00,1,90112.8,2026-01-09 23:00:00,2026-01-10 01:00:00,85,1,90108.2,2026-01-12 16:40:00,90951.7,-1,3355,-1,1,True,False,-1,-1,6,,90654.6,22.5,90974.2,90108.2,866.0,90825.65,90108.2,717.4499999999971,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-01-20 16:34:00,1,90665.9,2026-01-20 10:30:00,2026-01-20 12:30:00,167,1,90655.4,2026-01-20 16:40:00,91254.8,-1,5653,-1,1,True,False,-1,-1,11,2218.3749999999977,91126.7,22.5,91277.3,90655.4,621.9000000000087,91213.25,90655.4,557.8500000000058,True,True,0.2514678537217586,0.0577449709810135,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,True
BTCUSD#,2026-01-23 04:00:00,-1,89936.7,2026-01-22 22:15:00,2026-01-22 23:45:00,184,1,89971.0,2026-01-23 04:30:00,89754.7,1,6371,1,"-1,1,-1",False,True,-1,-1,2,2240.8499999999976,89782.8,22.5,89754.7,89993.5,238.8000000000029,89768.75,89993.5,224.75,True,True,,,0,,,False,False,False,True,L2,2026-01-23 04:30:00,-1.0,SL,2026-01-23 06:12:00,True,False,0,,,False
BTCUSD#,2026-01-24 16:01:00,1,89203.3,2026-01-23 22:45:00,2026-01-24 03:15:00,193,1,89162.2,2026-01-24 16:35:00,89484.7,-1,6798,-1,1,True,False,-1,1,9,2265.25714285714,89478.7,22.5,89507.2,89162.2,345.0,89504.2,89162.2,342.0,True,True,0.1509762373240504,0.0026487059179657,1,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-01-24 18:17:00,1,89162.2,2026-01-24 16:00:00,2026-01-24 16:30:00,195,1,89155.3,2026-01-24 18:50:00,89258.0,-1,6825,-1,"1,-1,1",False,True,-1,-1,1,2265.25714285714,89254.8,22.5,89280.5,89155.3,125.19999999999708,89278.9,89155.3,123.59999999999128,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-01-26 19:32:00,1,87077.4,2026-01-26 05:45:00,2026-01-26 06:30:00,211,1,87020.45,2026-01-26 20:20:00,87931.2,-1,7419,1,"-1,1",False,False,1,-1,44,2457.8499999999976,87902.7,22.5,87953.7,87020.45,933.25,87939.45,87020.45,919.0,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-01-27 06:12:00,-1,88962.7,2026-01-25 15:45:00,2026-01-25 18:00:00,206,1,88988.6,2026-01-27 06:45:00,88672.5,1,7544,1,-1,True,False,1,1,10,2484.535714285711,88673.0,22.5,88672.5,89011.1,338.6000000000058,88672.75,89011.1,338.3500000000058,True,True,0.1361823853263785,0.0002012448431008,2,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-01-28 19:54:00,-1,90473.3,2026-01-28 15:30:00,2026-01-28 16:45:00,232,1,90599.9,2026-01-28 20:55:00,89468.8,1,8002,1,"-1,1,-1",False,True,1,1,23,2395.3785714285686,89482.7,22.5,89468.8,90622.4,1153.5999999999913,89475.75,90622.4,1146.6499999999942,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
